millis,dist_raw,dist_filtered,water_height,setpoint,pid_val
49.29,49.10,48.59,18.41,0.50,0.76
49.39,48.60,48.58,18.42,0.50,0.77
49.49,49.00,48.56,18.44,0.50,0.77
49.59,48.70,48.55,18.45,0.50,0.77
49.70,47.80,48.53,18.47,0.50,0.77
49.80,47.00,48.52,18.48,0.50,0.77
49.90,47.80,48.51,18.49,0.50,0.77
50.01,47.80,48.50,18.50,0.50,0.77
50.10,47.80,48.48,18.52,0.50,0.77
50.20,48.20,48.48,18.52,0.50,0.77
50.30,50.70,48.47,18.53,0.50,0.77
50.40,46.60,48.46,18.54,0.50,0.77
50.51,47.80,48.46,18.54,0.50,0.78
50.61,48.20,48.46,18.54,0.50,0.77
50.71,47.30,48.46,18.54,0.50,0.77
50.81,47.00,48.47,18.53,0.50,0.77
50.91,48.60,48.48,18.52,0.50,0.78
51.02,48.30,48.49,18.51,0.50,0.78
51.11,47.80,48.50,18.50,0.50,0.78
51.21,47.40,48.51,18.49,0.50,0.78
51.31,49.10,48.53,18.47,0.50,0.78
51.41,49.50,48.54,18.46,0.50,0.78
51.52,50.50,48.55,18.45,0.50,0.78
51.62,49.50,48.56,18.44,0.50,0.78
51.72,47.40,48.56,18.44,0.50,0.78
51.82,49.10,48.56,18.44,0.50,0.78
51.92,46.50,48.56,18.44,0.50,0.78
52.03,48.60,48.55,18.45,0.50,0.78
52.12,47.00,48.54,18.46,0.50,0.79
52.22,46.90,48.52,18.48,0.50,0.79
52.32,49.90,48.50,18.50,0.50,0.79
52.42,49.10,48.47,18.53,0.50,0.79
52.52,47.40,48.45,18.55,0.50,0.79
52.63,50.60,48.42,18.58,0.50,0.79
52.73,49.40,48.39,18.61,0.50,0.79
52.83,47.40,48.36,18.64,0.50,0.79
52.94,48.10,48.33,18.67,0.50,0.79
53.03,49.20,48.30,18.70,0.50,0.79
53.13,47.50,48.27,18.73,0.50,0.79
53.23,48.30,48.25,18.75,0.50,0.79
53.33,48.20,48.23,18.77,0.50,0.79
53.43,47.70,48.22,18.78,0.50,0.79
53.53,47.60,48.21,18.79,0.50,0.79
53.64,47.40,48.21,18.79,0.50,0.79
